"feature","id","pval","qval","reaction","times"
"gene","MSTRG.71695",0.000693893082321706,0.150480316929431,"S","72v96"
"gene","MSTRG.53553",0.000696711620195578,0.150480316929431,"S","72v96"
"gene","MSTRG.52314",0.000697614720743478,0.150480316929431,"S","72v96"
"gene","MSTRG.379",0.00070073073322563,0.150480316929431,"S","72v96"
"gene","MSTRG.7125",0.000712343072331256,0.150480316929431,"S","72v96"
"gene","MSTRG.25791",0.000717448053231151,0.150480316929431,"S","72v96"
"gene","MSTRG.10743",0.000719018579184993,0.150480316929431,"S","72v96"
"gene","MSTRG.19227",0.000730400300615441,0.150707720389059,"S","72v96"
"gene","MSTRG.33496",0.00073480117205782,0.150707720389059,"S","72v96"
"gene","MSTRG.42365",0.000779202975648818,0.157606088292285,"S","72v96"
"gene","MSTRG.5274",0.00080316121770152,0.157606088292285,"S","72v96"
"gene","MSTRG.36091",0.0008031740033424,0.157606088292285,"S","72v96"
"gene","MSTRG.6869",0.000803982051399199,0.157606088292285,"S","72v96"
"gene","MSTRG.61375",0.000808087606779528,0.157606088292285,"S","72v96"
"gene","MSTRG.34819",0.000818537387133,0.157606088292285,"S","72v96"
"gene","MSTRG.67310",0.000822225814104072,0.157606088292285,"S","72v96"
"gene","MSTRG.37893",0.000839905071780001,0.157659439038618,"S","72v96"
"gene","MSTRG.13471",0.000840096120276801,0.157659439038618,"S","72v96"
"gene","MSTRG.61995",0.000852016240292297,0.157659439038618,"S","72v96"
"gene","MSTRG.43562",0.000855164803045594,0.157659439038618,"S","72v96"
"gene","MSTRG.26270",0.000861177272495905,0.157659439038618,"S","72v96"
"gene","MSTRG.1935",0.000868625870861228,0.157659439038618,"S","72v96"
"gene","MSTRG.65605",0.000894694346092795,0.157939322737269,"S","72v96"
"gene","MSTRG.27113",0.000896170998148427,0.157939322737269,"S","72v96"
"gene","MSTRG.32102",0.000905080675826619,0.157939322737269,"S","72v96"
"gene","MSTRG.14146",0.000914547949596223,0.157939322737269,"S","72v96"
"gene","MSTRG.37754",0.000914581138111048,0.157939322737269,"S","72v96"
"gene","MSTRG.26624",0.000916371497110435,0.157939322737269,"S","72v96"
"gene","MSTRG.43170",0.000948028384112787,0.158270372373729,"S","72v96"
"gene","MSTRG.65413",0.000953746093622199,0.158270372373729,"S","72v96"
"gene","MSTRG.43471",0.000956306023814468,0.158270372373729,"S","72v96"
"gene","MSTRG.47158",0.000964059439694243,0.158270372373729,"S","72v96"
"gene","MSTRG.4379",0.000987120451278134,0.158270372373729,"S","72v96"
